game_id,iter_idx,converged,rounds,duration_sec,player_count,quality_scores_json,final_datasizes_json,final_payoffs_json
1,0,1,321,0.713155,10,"{""50051"": 1.073374981255, ""50053"": 0.939973597576, ""50055"": 0.914430956308, ""50057"": 0.843779495633, ""50059"": 1.005251135542, ""50061"": 1.079683200359, ""50063"": 0.950168109041, ""50065"": 1.111789723645, ""50067"": 1.10449074569, ""50069"": 0.961679806324}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 1051, ""50067"": 942, ""50069"": 0}","{""50051"": 0.02483408819248975, ""50053"": 0.02483408819248975, ""50055"": 0.02483408819248975, ""50057"": 0.02483408819248975, ""50059"": 0.02483408819248975, ""50061"": 0.02483408819248975, ""50063"": 0.02483408819248975, ""50065"": 0.02422545298488895, ""50067"": 0.024288558868676355, ""50069"": 0.02483408819248975}"
2,1,1,233,0.514710,10,"{""50051"": 1.073374981255, ""50053"": 1.042704324295, ""50055"": 1.020381117025, ""50057"": 0.871593552775, ""50059"": 1.153822103853, ""50061"": 1.348493680178, ""50063"": 0.997458782558, ""50065"": 1.233951813779, ""50067"": 1.110921541605, ""50069"": 1.052771570548}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1870, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.024982997850659744, ""50053"": 0.024982997850659744, ""50055"": 0.024982997850659744, ""50057"": 0.024982997850659744, ""50059"": 0.024982997850659744, ""50061"": 0.02390006844554989, ""50063"": 0.024982997850659744, ""50065"": 0.024982997850659744, ""50067"": 0.024982997850659744, ""50069"": 0.024982997850659744}"
3,2,1,1046,3.366919,10,"{""50051"": 1.150949605852, ""50053"": 1.227121987991, ""50055"": 1.081304316136, ""50057"": 1.238617954495, ""50059"": 1.460939584189, ""50061"": 1.475251431075, ""50063"": 1.326842580598, ""50065"": 1.404887920241, ""50067"": 1.415018545675, ""50069"": 1.356678962636}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1818, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.02504933013148329, ""50053"": 0.02504933013148329, ""50055"": 0.02504933013148329, ""50057"": 0.02504933013148329, ""50059"": 0.02504933013148329, ""50061"": 0.023996515742666643, ""50063"": 0.02504933013148329, ""50065"": 0.02504933013148329, ""50067"": 0.02504933013148329, ""50069"": 0.02504933013148329}"
4,3,1,194,0.534990,10,"{""50051"": 1.443832566285, ""50053"": 1.370901131459, ""50055"": 1.155728941109, ""50057"": 1.306975142671, ""50059"": 1.573714223577, ""50061"": 1.716979146349, ""50063"": 1.587965891909, ""50065"": 1.7104803216, ""50067"": 1.583926227967, ""50069"": 1.622372652985}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 895, ""50063"": 0, ""50065"": 842, ""50067"": 0, ""50069"": 0}","{""50051"": 0.02515745187103359, ""50053"": 0.02515745187103359, ""50055"": 0.02515745187103359, ""50057"": 0.02515745187103359, ""50059"": 0.02515745187103359, ""50061"": 0.024639162302440735, ""50063"": 0.02515745187103359, ""50065"": 0.024669839852837435, ""50067"": 0.02515745187103359, ""50069"": 0.02515745187103359}"
5,4,1,214,0.500837,10,"{""50051"": 1.555408744981, ""50053"": 1.535971839519, ""50055"": 1.255809631697, ""50057"": 1.382738860892, ""50059"": 1.64544293626, ""50061"": 1.730787265463, ""50063"": 1.587965891909, ""50065"": 1.751865499523, ""50067"": 1.938067557334, ""50069"": 1.622372652985}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1669, ""50069"": 0}","{""50051"": 0.02523989923996263, ""50053"": 0.02523989923996263, ""50055"": 0.02523989923996263, ""50057"": 0.02523989923996263, ""50059"": 0.02523989923996263, ""50061"": 0.02523989923996263, ""50063"": 0.02523989923996263, ""50065"": 0.02523989923996263, ""50067"": 0.024273372165503165, ""50069"": 0.02523989923996263}"
6,5,1,253,0.590816,10,"{""50051"": 1.555408744981, ""50053"": 1.535971839519, ""50055"": 1.391770024818, ""50057"": 1.443089667505, ""50059"": 1.64544293626, ""50061"": 1.911191730331, ""50063"": 1.61763089315, ""50065"": 1.751865499523, ""50067"": 2.06853369883, ""50069"": 1.762042114117}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1635, ""50069"": 0}","{""50051"": 0.025282879592614105, ""50053"": 0.025282879592614105, ""50055"": 0.025282879592614105, ""50057"": 0.025282879592614105, ""50059"": 0.025282879592614105, ""50061"": 0.025282879592614105, ""50063"": 0.025282879592614105, ""50065"": 0.025282879592614105, ""50067"": 0.024336042873683773, ""50069"": 0.025282879592614105}"
7,6,1,192,0.450681,10,"{""50051"": 1.555408744981, ""50053"": 1.535971839519, ""50055"": 1.391770024818, ""50057"": 1.443089667505, ""50059"": 1.687450856902, ""50061"": 1.985829697275, ""50063"": 1.684776132914, ""50065"": 1.780349730148, ""50067"": 2.242461085274, ""50069"": 1.87726236371}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1593, ""50069"": 0}","{""50051"": 0.025334454125902517, ""50053"": 0.025334454125902517, ""50055"": 0.025334454125902517, ""50057"": 0.025334454125902517, ""50059"": 0.025334454125902517, ""50061"": 0.025334454125902517, ""50063"": 0.025334454125902517, ""50065"": 0.025334454125902517, ""50067"": 0.024411944429302775, ""50069"": 0.025334454125902517}"
8,7,1,192,0.450807,10,"{""50051"": 1.718743270201, ""50053"": 1.535971839519, ""50055"": 1.391770024818, ""50057"": 1.443089667505, ""50059"": 1.687450856902, ""50061"": 1.985829697275, ""50063"": 1.837273942695, ""50065"": 1.919137229769, ""50067"": 2.242461085274, ""50069"": 1.87726236371}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1593, ""50069"": 0}","{""50051"": 0.025334454125902517, ""50053"": 0.025334454125902517, ""50055"": 0.025334454125902517, ""50057"": 0.025334454125902517, ""50059"": 0.025334454125902517, ""50061"": 0.025334454125902517, ""50063"": 0.025334454125902517, ""50065"": 0.025334454125902517, ""50067"": 0.024411944429302775, ""50069"": 0.025334454125902517}"
9,8,1,315,0.922407,10,"{""50051"": 1.772411584354, ""50053"": 1.535971839519, ""50055"": 1.466254321795, ""50057"": 1.443089667505, ""50059"": 1.696975114984, ""50061"": 2.173949704458, ""50063"": 1.894535628947, ""50065"": 1.919137229769, ""50067"": 2.309248840342, ""50069"": 2.033191455849}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1579, ""50069"": 0}","{""50051"": 0.025353466859292934, ""50053"": 0.025353466859292934, ""50055"": 0.025353466859292934, ""50057"": 0.025353466859292934, ""50059"": 0.025353466859292934, ""50061"": 0.025353466859292934, ""50063"": 0.025353466859292934, ""50065"": 0.025353466859292934, ""50067"": 0.024439061384921638, ""50069"": 0.025353466859292934}"
10,9,1,822,3.232390,10,"{""50051"": 2.111424145678, ""50053"": 1.598141809214, ""50055"": 1.466254321795, ""50057"": 1.443089667505, ""50059"": 1.745747498733, ""50061"": 2.411975846853, ""50063"": 1.960920341552, ""50065"": 2.056232643282, ""50067"": 2.363509774708, ""50069"": 2.035613309175}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1557, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.025380479447382157, ""50053"": 0.025380479447382157, ""50055"": 0.025380479447382157, ""50057"": 0.025380479447382157, ""50059"": 0.025380479447382157, ""50061"": 0.02447881656830885, ""50063"": 0.025380479447382157, ""50065"": 0.025380479447382157, ""50067"": 0.025380479447382157, ""50069"": 0.025380479447382157}"
