game_id,iter_idx,converged,rounds,duration_sec,player_count,quality_scores_json,final_datasizes_json,final_payoffs_json
1,1,1,360,4.101259,25,"{""C01"": 1.012744, ""C02"": 1.03733, ""C03"": 1.050196, ""C04"": 1.054695, ""C05"": 1.05812, ""C06"": 1.014662, ""C07"": 1.052604, ""C08"": 1.018744, ""C09"": 1.04333, ""C10"": 1.356879, ""C11"": 1.258979, ""C12"": 1.295989, ""C13"": 1.339909, ""C14"": 1.379489, ""C15"": 1.40552, ""C16"": 1.262745, ""C17"": 1.342277, ""C18"": 1.362879, ""C19"": 1.264979, ""C20"": 1.977327, ""C21"": 1.889209, ""C22"": 1.87951, ""C23"": 1.882197, ""C24"": 1.883782, ""C25"": 1.983327}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 653, ""C21"": 0, ""C22"": 0, ""C23"": 0, ""C24"": 0, ""C25"": 1011}","{""C01"": 0.0252582300668171, ""C02"": 0.0252582300668171, ""C03"": 0.0252582300668171, ""C04"": 0.0252582300668171, ""C05"": 0.0252582300668171, ""C06"": 0.0252582300668171, ""C07"": 0.0252582300668171, ""C08"": 0.0252582300668171, ""C09"": 0.0252582300668171, ""C10"": 0.0252582300668171, ""C11"": 0.0252582300668171, ""C12"": 0.0252582300668171, ""C13"": 0.0252582300668171, ""C14"": 0.0252582300668171, ""C15"": 0.0252582300668171, ""C16"": 0.0252582300668171, ""C17"": 0.0252582300668171, ""C18"": 0.0252582300668171, ""C19"": 0.0252582300668171, ""C20"": 0.024880065896487856, ""C21"": 0.0252582300668171, ""C22"": 0.0252582300668171, ""C23"": 0.0252582300668171, ""C24"": 0.0252582300668171, ""C25"": 0.024672745395129914}"
2,2,1,71,0.573405,25,"{""C01"": 1.027263, ""C02"": 1.047619, ""C03"": 1.05685, ""C04"": 1.060018, ""C05"": 1.065042, ""C06"": 1.029872, ""C07"": 1.058986, ""C08"": 1.033263, ""C09"": 1.053619, ""C10"": 1.374939, ""C11"": 1.28289, ""C12"": 1.323561, ""C13"": 1.367231, ""C14"": 1.402767, ""C15"": 1.422862, ""C16"": 1.287222, ""C17"": 1.369187, ""C18"": 1.380939, ""C19"": 1.28889, ""C20"": 2.001769, ""C21"": 1.911379, ""C22"": 1.904678, ""C23"": 1.914224, ""C24"": 1.909438, ""C25"": 2.007769}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 796, ""C21"": 0, ""C22"": 0, ""C23"": 0, ""C24"": 0, ""C25"": 862}","{""C01"": 0.02526631662829966, ""C02"": 0.02526631662829966, ""C03"": 0.02526631662829966, ""C04"": 0.02526631662829966, ""C05"": 0.02526631662829966, ""C06"": 0.02526631662829966, ""C07"": 0.02526631662829966, ""C08"": 0.02526631662829966, ""C09"": 0.02526631662829966, ""C10"": 0.02526631662829966, ""C11"": 0.02526631662829966, ""C12"": 0.02526631662829966, ""C13"": 0.02526631662829966, ""C14"": 0.02526631662829966, ""C15"": 0.02526631662829966, ""C16"": 0.02526631662829966, ""C17"": 0.02526631662829966, ""C18"": 0.02526631662829966, ""C19"": 0.02526631662829966, ""C20"": 0.02480533855849556, ""C21"": 0.02526631662829966, ""C22"": 0.02526631662829966, ""C23"": 0.02526631662829966, ""C24"": 0.02526631662829966, ""C25"": 0.02476712058050093}"
3,3,1,78,0.678545,25,"{""C01"": 1.039537, ""C02"": 1.055641, ""C03"": 1.061906, ""C04"": 1.06479, ""C05"": 1.072344, ""C06"": 1.042788, ""C07"": 1.063605, ""C08"": 1.045537, ""C09"": 1.061641, ""C10"": 1.393848, ""C11"": 1.307155, ""C12"": 1.350201, ""C13"": 1.392149, ""C14"": 1.422676, ""C15"": 1.43683, ""C16"": 1.311971, ""C17"": 1.393549, ""C18"": 1.399848, ""C19"": 1.313155, ""C20"": 2.022509, ""C21"": 1.931735, ""C22"": 1.929692, ""C23"": 1.946747, ""C24"": 1.934856, ""C25"": 2.028509}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 790, ""C21"": 0, ""C22"": 0, ""C23"": 0, ""C24"": 0, ""C25"": 863}","{""C01"": 0.02527330748913538, ""C02"": 0.02527330748913538, ""C03"": 0.02527330748913538, ""C04"": 0.02527330748913538, ""C05"": 0.02527330748913538, ""C06"": 0.02527330748913538, ""C07"": 0.02527330748913538, ""C08"": 0.02527330748913538, ""C09"": 0.02527330748913538, ""C10"": 0.02527330748913538, ""C11"": 0.02527330748913538, ""C12"": 0.02527330748913538, ""C13"": 0.02527330748913538, ""C14"": 0.02527330748913538, ""C15"": 0.02527330748913538, ""C16"": 0.02527330748913538, ""C17"": 0.02527330748913538, ""C18"": 0.02527330748913538, ""C19"": 0.02527330748913538, ""C20"": 0.024815804128400155, ""C21"": 0.02527330748913538, ""C22"": 0.02527330748913538, ""C23"": 0.02527330748913538, ""C24"": 0.02527330748913538, ""C25"": 0.02477353172583698}"
4,4,1,101,1.211158,25,"{""C01"": 1.049526, ""C02"": 1.061621, ""C03"": 1.065774, ""C04"": 1.069438, ""C05"": 1.080296, ""C06"": 1.053344, ""C07"": 1.066894, ""C08"": 1.055526, ""C09"": 1.067621, ""C10"": 1.413636, ""C11"": 1.331471, ""C12"": 1.375461, ""C13"": 1.414322, ""C14"": 1.439184, ""C15"": 1.447761, ""C16"": 1.336675, ""C17"": 1.415047, ""C18"": 1.419636, ""C19"": 1.337471, ""C20"": 2.040347, ""C21"": 1.951104, ""C22"": 1.95509, ""C23"": 1.979836, ""C24"": 1.960564, ""C25"": 2.046347}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 779, ""C21"": 0, ""C22"": 0, ""C23"": 0, ""C24"": 0, ""C25"": 869}","{""C01"": 0.025278817667287096, ""C02"": 0.025278817667287096, ""C03"": 0.025278817667287096, ""C04"": 0.025278817667287096, ""C05"": 0.025278817667287096, ""C06"": 0.025278817667287096, ""C07"": 0.025278817667287096, ""C08"": 0.025278817667287096, ""C09"": 0.025278817667287096, ""C10"": 0.025278817667287096, ""C11"": 0.025278817667287096, ""C12"": 0.025278817667287096, ""C13"": 0.025278817667287096, ""C14"": 0.025278817667287096, ""C15"": 0.025278817667287096, ""C16"": 0.025278817667287096, ""C17"": 0.025278817667287096, ""C18"": 0.025278817667287096, ""C19"": 0.025278817667287096, ""C20"": 0.024827684606511476, ""C21"": 0.025278817667287096, ""C22"": 0.025278817667287096, ""C23"": 0.025278817667287096, ""C24"": 0.025278817667287096, ""C25"": 0.024775567817938788}"
5,5,1,122,1.697839,25,"{""C01"": 1.057283, ""C02"": 1.06586, ""C03"": 1.068886, ""C04"": 1.074346, ""C05"": 1.089077, ""C06"": 1.061574, ""C07"": 1.069316, ""C08"": 1.063283, ""C09"": 1.07186, ""C10"": 1.434196, ""C11"": 1.355451, ""C12"": 1.398891, ""C13"": 1.433494, ""C14"": 1.452389, ""C15"": 1.456098, ""C16"": 1.360937, ""C17"": 1.433455, ""C18"": 1.440196, ""C19"": 1.361451, ""C20"": 2.056121, ""C21"": 1.970226, ""C22"": 1.981237, ""C23"": 2.01338, ""C24"": 1.98692, ""C25"": 2.062121}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 765, ""C21"": 0, ""C22"": 0, ""C23"": 0, ""C24"": 0, ""C25"": 879}","{""C01"": 0.025283862301258606, ""C02"": 0.025283862301258606, ""C03"": 0.025283862301258606, ""C04"": 0.025283862301258606, ""C05"": 0.025283862301258606, ""C06"": 0.025283862301258606, ""C07"": 0.025283862301258606, ""C08"": 0.025283862301258606, ""C09"": 0.025283862301258606, ""C10"": 0.025283862301258606, ""C11"": 0.025283862301258606, ""C12"": 0.025283862301258606, ""C13"": 0.025283862301258606, ""C14"": 0.025283862301258606, ""C15"": 0.025283862301258606, ""C16"": 0.025283862301258606, ""C17"": 0.025283862301258606, ""C18"": 0.025283862301258606, ""C19"": 0.025283862301258606, ""C20"": 0.024840836894977028, ""C21"": 0.025283862301258606, ""C22"": 0.025283862301258606, ""C23"": 0.025283862301258606, ""C24"": 0.025283862301258606, ""C25"": 0.024774821220197366}"
6,6,1,338,3.005431,25,"{""C01"": 1.062953, ""C02"": 1.068722, ""C03"": 1.071678, ""C04"": 1.079837, ""C05"": 1.098768, ""C06"": 1.067606, ""C07"": 1.071342, ""C08"": 1.068953, ""C09"": 1.074722, ""C10"": 1.455294, ""C11"": 1.378648, ""C12"": 1.420082, ""C13"": 1.449517, ""C14"": 1.462515, ""C15"": 1.462369, ""C16"": 1.3843, ""C17"": 1.448659, ""C18"": 1.461294, ""C19"": 1.384648, ""C20"": 2.070663, ""C21"": 1.989727, ""C22"": 2.008321, ""C23"": 2.047106, ""C24"": 2.014109, ""C25"": 2.076663}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 657, ""C21"": 0, ""C22"": 0, ""C23"": 0, ""C24"": 0, ""C25"": 983}","{""C01"": 0.025288425538098333, ""C02"": 0.025288425538098333, ""C03"": 0.025288425538098333, ""C04"": 0.025288425538098333, ""C05"": 0.025288425538098333, ""C06"": 0.025288425538098333, ""C07"": 0.025288425538098333, ""C08"": 0.025288425538098333, ""C09"": 0.025288425538098333, ""C10"": 0.025288425538098333, ""C11"": 0.025288425538098333, ""C12"": 0.025288425538098333, ""C13"": 0.025288425538098333, ""C14"": 0.025288425538098333, ""C15"": 0.025288425538098333, ""C16"": 0.025288425538098333, ""C17"": 0.025288425538098333, ""C18"": 0.025288425538098333, ""C19"": 0.025288425538098333, ""C20"": 0.024907944895056506, ""C21"": 0.025288425538098333, ""C22"": 0.025288425538098333, ""C23"": 0.025288425538098333, ""C24"": 0.025288425538098333, ""C25"": 0.024719156233566617}"
7,7,1,685,5.550578,25,"{""C01"": 1.066769, ""C02"": 1.070614, ""C03"": 1.074559, ""C04"": 1.086153, ""C05"": 1.109351, ""C06"": 1.071659, ""C07"": 1.073422, ""C08"": 1.072769, ""C09"": 1.076614, ""C10"": 1.476594, ""C11"": 1.400593, ""C12"": 1.438689, ""C13"": 1.462371, ""C14"": 1.469906, ""C15"": 1.467158, ""C16"": 1.406292, ""C17"": 1.460675, ""C18"": 1.482594, ""C19"": 1.406593, ""C20"": 2.084755, ""C21"": 2.01008, ""C22"": 2.036345, ""C23"": 2.080604, ""C24"": 2.04213, ""C25"": 2.090755}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 484, ""C21"": 0, ""C22"": 0, ""C23"": 0, ""C24"": 0, ""C25"": 1152}","{""C01"": 0.025292828520698682, ""C02"": 0.025292828520698682, ""C03"": 0.025292828520698682, ""C04"": 0.025292828520698682, ""C05"": 0.025292828520698682, ""C06"": 0.025292828520698682, ""C07"": 0.025292828520698682, ""C08"": 0.025292828520698682, ""C09"": 0.025292828520698682, ""C10"": 0.025292828520698682, ""C11"": 0.025292828520698682, ""C12"": 0.025292828520698682, ""C13"": 0.025292828520698682, ""C14"": 0.025292828520698682, ""C15"": 0.025292828520698682, ""C16"": 0.025292828520698682, ""C17"": 0.025292828520698682, ""C18"": 0.025292828520698682, ""C19"": 0.025292828520698682, ""C20"": 0.02501253532247609, ""C21"": 0.025292828520698682, ""C22"": 0.025292828520698682, ""C23"": 0.025292828520698682, ""C24"": 0.025292828520698682, ""C25"": 0.02462568825223174}"
8,8,1,1386,13.376287,25,"{""C01"": 1.069035, ""C02"": 1.071962, ""C03"": 1.077894, ""C04"": 1.093447, ""C05"": 1.120712, ""C06"": 1.07403, ""C07"": 1.075963, ""C08"": 1.075035, ""C09"": 1.077962, ""C10"": 1.497676, ""C11"": 1.42083, ""C12"": 1.454462, ""C13"": 1.472161, ""C14"": 1.475009, ""C15"": 1.471073, ""C16"": 1.426455, ""C17"": 1.469644, ""C18"": 1.503676, ""C19"": 1.42683, ""C20"": 2.099094, ""C21"": 2.031592, ""C22"": 2.065138, ""C23"": 2.113362, ""C24"": 2.070812, ""C25"": 2.105094}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0, ""C21"": 0, ""C22"": 0, ""C23"": 1630, ""C24"": 0, ""C25"": 0}","{""C01"": 0.025300348370144693, ""C02"": 0.025300348370144693, ""C03"": 0.025300348370144693, ""C04"": 0.025300348370144693, ""C05"": 0.025300348370144693, ""C06"": 0.025300348370144693, ""C07"": 0.025300348370144693, ""C08"": 0.025300348370144693, ""C09"": 0.025300348370144693, ""C10"": 0.025300348370144693, ""C11"": 0.025300348370144693, ""C12"": 0.025300348370144693, ""C13"": 0.025300348370144693, ""C14"": 0.025300348370144693, ""C15"": 0.025300348370144693, ""C16"": 0.025300348370144693, ""C17"": 0.025300348370144693, ""C18"": 0.025300348370144693, ""C19"": 0.025300348370144693, ""C20"": 0.025300348370144693, ""C21"": 0.025300348370144693, ""C22"": 0.025300348370144693, ""C23"": 0.024356388183735568, ""C24"": 0.025300348370144693, ""C25"": 0.025300348370144693}"
9,9,1,424,3.705361,25,"{""C01"": 1.070119, ""C02"": 1.073188, ""C03"": 1.081982, ""C04"": 1.101769, ""C05"": 1.132651, ""C06"": 1.075082, ""C07"": 1.079306, ""C08"": 1.076119, ""C09"": 1.079188, ""C10"": 1.518075, ""C11"": 1.438943, ""C12"": 1.467263, ""C13"": 1.479123, ""C14"": 1.47835, ""C15"": 1.474714, ""C16"": 1.444375, ""C17"": 1.475838, ""C18"": 1.524075, ""C19"": 1.444943, ""C20"": 2.114251, ""C21"": 2.054387, ""C22"": 2.094373, ""C23"": 2.144807, ""C24"": 2.099832, ""C25"": 2.120251}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0, ""C21"": 0, ""C22"": 0, ""C23"": 1622, ""C24"": 0, ""C25"": 0}","{""C01"": 0.02530965041970548, ""C02"": 0.02530965041970548, ""C03"": 0.02530965041970548, ""C04"": 0.02530965041970548, ""C05"": 0.02530965041970548, ""C06"": 0.02530965041970548, ""C07"": 0.02530965041970548, ""C08"": 0.02530965041970548, ""C09"": 0.02530965041970548, ""C10"": 0.02530965041970548, ""C11"": 0.02530965041970548, ""C12"": 0.02530965041970548, ""C13"": 0.02530965041970548, ""C14"": 0.02530965041970548, ""C15"": 0.02530965041970548, ""C16"": 0.02530965041970548, ""C17"": 0.02530965041970548, ""C18"": 0.02530965041970548, ""C19"": 0.02530965041970548, ""C20"": 0.02530965041970548, ""C21"": 0.02530965041970548, ""C22"": 0.02530965041970548, ""C23"": 0.02437032385406926, ""C24"": 0.02530965041970548, ""C25"": 0.02530965041970548}"
10,10,1,289,2.506049,25,"{""C01"": 1.070423, ""C02"": 1.074688, ""C03"": 1.08704, ""C04"": 1.111076, ""C05"": 1.144897, ""C06"": 1.075219, ""C07"": 1.083708, ""C08"": 1.076423, ""C09"": 1.080688, ""C10"": 1.537307, ""C11"": 1.454592, ""C12"": 1.477084, ""C13"": 1.48361, ""C14"": 1.480507, ""C15"": 1.478642, ""C16"": 1.459717, ""C17"": 1.479645, ""C18"": 1.543307, ""C19"": 1.460592, ""C20"": 2.130644, ""C21"": 2.078411, ""C22"": 2.123593, ""C23"": 2.174346, ""C24"": 2.128736, ""C25"": 2.136644}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0, ""C21"": 0, ""C22"": 0, ""C23"": 1615, ""C24"": 0, ""C25"": 0}","{""C01"": 0.025318445043657864, ""C02"": 0.025318445043657864, ""C03"": 0.025318445043657864, ""C04"": 0.025318445043657864, ""C05"": 0.025318445043657864, ""C06"": 0.025318445043657864, ""C07"": 0.025318445043657864, ""C08"": 0.025318445043657864, ""C09"": 0.025318445043657864, ""C10"": 0.025318445043657864, ""C11"": 0.025318445043657864, ""C12"": 0.025318445043657864, ""C13"": 0.025318445043657864, ""C14"": 0.025318445043657864, ""C15"": 0.025318445043657864, ""C16"": 0.025318445043657864, ""C17"": 0.025318445043657864, ""C18"": 0.025318445043657864, ""C19"": 0.025318445043657864, ""C20"": 0.025318445043657864, ""C21"": 0.025318445043657864, ""C22"": 0.025318445043657864, ""C23"": 0.024383172339944883, ""C24"": 0.025318445043657864, ""C25"": 0.025318445043657864}"
