game_id,iter_idx,converged,rounds,duration_sec,player_count,quality_scores_json,final_datasizes_json,final_payoffs_json
1,1,1,122,1.141656,20,"{""C01"": 1.012744, ""C02"": 1.03733, ""C03"": 1.050196, ""C04"": 1.054695, ""C05"": 1.05812, ""C06"": 1.014662, ""C07"": 1.052604, ""C08"": 1.356879, ""C09"": 1.258979, ""C10"": 1.295989, ""C11"": 1.339909, ""C12"": 1.379489, ""C13"": 1.40552, ""C14"": 1.262745, ""C15"": 1.342277, ""C16"": 1.977327, ""C17"": 1.889209, ""C18"": 1.87951, ""C19"": 1.882197, ""C20"": 1.883782}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 1664, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0}","{""C01"": 0.025256450229993885, ""C02"": 0.025256450229993885, ""C03"": 0.025256450229993885, ""C04"": 0.025256450229993885, ""C05"": 0.025256450229993885, ""C06"": 0.025256450229993885, ""C07"": 0.025256450229993885, ""C08"": 0.025256450229993885, ""C09"": 0.025256450229993885, ""C10"": 0.025256450229993885, ""C11"": 0.025256450229993885, ""C12"": 0.025256450229993885, ""C13"": 0.025256450229993885, ""C14"": 0.025256450229993885, ""C15"": 0.025256450229993885, ""C16"": 0.024292800792684973, ""C17"": 0.025256450229993885, ""C18"": 0.025256450229993885, ""C19"": 0.025256450229993885, ""C20"": 0.025256450229993885}"
2,2,1,124,1.164477,20,"{""C01"": 1.027263, ""C02"": 1.047619, ""C03"": 1.05685, ""C04"": 1.060018, ""C05"": 1.065042, ""C06"": 1.029872, ""C07"": 1.058986, ""C08"": 1.374939, ""C09"": 1.28289, ""C10"": 1.323561, ""C11"": 1.367231, ""C12"": 1.402767, ""C13"": 1.422862, ""C14"": 1.287222, ""C15"": 1.369187, ""C16"": 2.001769, ""C17"": 1.911379, ""C18"": 1.904678, ""C19"": 1.914224, ""C20"": 1.909438}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 1658, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0}","{""C01"": 0.025264817865649464, ""C02"": 0.025264817865649464, ""C03"": 0.025264817865649464, ""C04"": 0.025264817865649464, ""C05"": 0.025264817865649464, ""C06"": 0.025264817865649464, ""C07"": 0.025264817865649464, ""C08"": 0.025264817865649464, ""C09"": 0.025264817865649464, ""C10"": 0.025264817865649464, ""C11"": 0.025264817865649464, ""C12"": 0.025264817865649464, ""C13"": 0.025264817865649464, ""C14"": 0.025264817865649464, ""C15"": 0.025264817865649464, ""C16"": 0.024304642495266378, ""C17"": 0.025264817865649464, ""C18"": 0.025264817865649464, ""C19"": 0.025264817865649464, ""C20"": 0.025264817865649464}"
3,3,1,145,0.973345,20,"{""C01"": 1.039537, ""C02"": 1.055641, ""C03"": 1.061906, ""C04"": 1.06479, ""C05"": 1.072344, ""C06"": 1.042788, ""C07"": 1.063605, ""C08"": 1.393848, ""C09"": 1.307155, ""C10"": 1.350201, ""C11"": 1.392149, ""C12"": 1.422676, ""C13"": 1.43683, ""C14"": 1.311971, ""C15"": 1.393549, ""C16"": 2.022509, ""C17"": 1.931735, ""C18"": 1.929692, ""C19"": 1.946747, ""C20"": 1.934856}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 1652, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0}","{""C01"": 0.025271242033797076, ""C02"": 0.025271242033797076, ""C03"": 0.025271242033797076, ""C04"": 0.025271242033797076, ""C05"": 0.025271242033797076, ""C06"": 0.025271242033797076, ""C07"": 0.025271242033797076, ""C08"": 0.025271242033797076, ""C09"": 0.025271242033797076, ""C10"": 0.025271242033797076, ""C11"": 0.025271242033797076, ""C12"": 0.025271242033797076, ""C13"": 0.025271242033797076, ""C14"": 0.025271242033797076, ""C15"": 0.025271242033797076, ""C16"": 0.02431454233983186, ""C17"": 0.025271242033797076, ""C18"": 0.025271242033797076, ""C19"": 0.025271242033797076, ""C20"": 0.025271242033797076}"
4,4,1,177,0.961095,20,"{""C01"": 1.049526, ""C02"": 1.061621, ""C03"": 1.065774, ""C04"": 1.069438, ""C05"": 1.080296, ""C06"": 1.053344, ""C07"": 1.066894, ""C08"": 1.413636, ""C09"": 1.331471, ""C10"": 1.375461, ""C11"": 1.414322, ""C12"": 1.439184, ""C13"": 1.447761, ""C14"": 1.336675, ""C15"": 1.415047, ""C16"": 2.040347, ""C17"": 1.951104, ""C18"": 1.95509, ""C19"": 1.979836, ""C20"": 1.960564}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 1648, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0}","{""C01"": 0.02527733519200727, ""C02"": 0.02527733519200727, ""C03"": 0.02527733519200727, ""C04"": 0.02527733519200727, ""C05"": 0.02527733519200727, ""C06"": 0.02527733519200727, ""C07"": 0.02527733519200727, ""C08"": 0.02527733519200727, ""C09"": 0.02527733519200727, ""C10"": 0.02527733519200727, ""C11"": 0.02527733519200727, ""C12"": 0.02527733519200727, ""C13"": 0.02527733519200727, ""C14"": 0.02527733519200727, ""C15"": 0.02527733519200727, ""C16"": 0.02432295110853663, ""C17"": 0.02527733519200727, ""C18"": 0.02527733519200727, ""C19"": 0.02527733519200727, ""C20"": 0.02527733519200727}"
5,5,1,251,1.352770,20,"{""C01"": 1.057283, ""C02"": 1.06586, ""C03"": 1.068886, ""C04"": 1.074346, ""C05"": 1.089077, ""C06"": 1.061574, ""C07"": 1.069316, ""C08"": 1.434196, ""C09"": 1.355451, ""C10"": 1.398891, ""C11"": 1.433494, ""C12"": 1.452389, ""C13"": 1.456098, ""C14"": 1.360937, ""C15"": 1.433455, ""C16"": 2.056121, ""C17"": 1.970226, ""C18"": 1.981237, ""C19"": 2.01338, ""C20"": 1.98692}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 1644, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0}","{""C01"": 0.0252823742642298, ""C02"": 0.0252823742642298, ""C03"": 0.0252823742642298, ""C04"": 0.0252823742642298, ""C05"": 0.0252823742642298, ""C06"": 0.0252823742642298, ""C07"": 0.0252823742642298, ""C08"": 0.0252823742642298, ""C09"": 0.0252823742642298, ""C10"": 0.0252823742642298, ""C11"": 0.0252823742642298, ""C12"": 0.0252823742642298, ""C13"": 0.0252823742642298, ""C14"": 0.0252823742642298, ""C15"": 0.0252823742642298, ""C16"": 0.024330306667269458, ""C17"": 0.0252823742642298, ""C18"": 0.0252823742642298, ""C19"": 0.0252823742642298, ""C20"": 0.0252823742642298}"
6,6,1,426,2.375928,20,"{""C01"": 1.062953, ""C02"": 1.068722, ""C03"": 1.071678, ""C04"": 1.079837, ""C05"": 1.098768, ""C06"": 1.067606, ""C07"": 1.071342, ""C08"": 1.455294, ""C09"": 1.378648, ""C10"": 1.420082, ""C11"": 1.449517, ""C12"": 1.462515, ""C13"": 1.462369, ""C14"": 1.3843, ""C15"": 1.448659, ""C16"": 2.070663, ""C17"": 1.989727, ""C18"": 2.008321, ""C19"": 2.047106, ""C20"": 2.014109}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 1640, ""C17"": 0, ""C18"": 0, ""C19"": 0, ""C20"": 0}","{""C01"": 0.02528677281370141, ""C02"": 0.02528677281370141, ""C03"": 0.02528677281370141, ""C04"": 0.02528677281370141, ""C05"": 0.02528677281370141, ""C06"": 0.02528677281370141, ""C07"": 0.02528677281370141, ""C08"": 0.02528677281370141, ""C09"": 0.02528677281370141, ""C10"": 0.02528677281370141, ""C11"": 0.02528677281370141, ""C12"": 0.02528677281370141, ""C13"": 0.02528677281370141, ""C14"": 0.02528677281370141, ""C15"": 0.02528677281370141, ""C16"": 0.024337022239478468, ""C17"": 0.02528677281370141, ""C18"": 0.02528677281370141, ""C19"": 0.02528677281370141, ""C20"": 0.02528677281370141}"
7,7,1,137,0.757457,20,"{""C01"": 1.066769, ""C02"": 1.070614, ""C03"": 1.074559, ""C04"": 1.086153, ""C05"": 1.109351, ""C06"": 1.071659, ""C07"": 1.073422, ""C08"": 1.476594, ""C09"": 1.400593, ""C10"": 1.438689, ""C11"": 1.462371, ""C12"": 1.469906, ""C13"": 1.467158, ""C14"": 1.406292, ""C15"": 1.460675, ""C16"": 2.084755, ""C17"": 2.01008, ""C18"": 2.036345, ""C19"": 2.080604, ""C20"": 2.04213}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 865, ""C17"": 0, ""C18"": 0, ""C19"": 773, ""C20"": 0}","{""C01"": 0.02529117210326022, ""C02"": 0.02529117210326022, ""C03"": 0.02529117210326022, ""C04"": 0.02529117210326022, ""C05"": 0.02529117210326022, ""C06"": 0.02529117210326022, ""C07"": 0.02529117210326022, ""C08"": 0.02529117210326022, ""C09"": 0.02529117210326022, ""C10"": 0.02529117210326022, ""C11"": 0.02529117210326022, ""C12"": 0.02529117210326022, ""C13"": 0.02529117210326022, ""C14"": 0.02529117210326022, ""C15"": 0.02529117210326022, ""C16"": 0.024790238178733805, ""C17"": 0.02529117210326022, ""C18"": 0.02529117210326022, ""C19"": 0.02484351421261726, ""C20"": 0.02529117210326022}"
8,8,1,815,4.576746,20,"{""C01"": 1.069035, ""C02"": 1.071962, ""C03"": 1.077894, ""C04"": 1.093447, ""C05"": 1.120712, ""C06"": 1.07403, ""C07"": 1.075963, ""C08"": 1.497676, ""C09"": 1.42083, ""C10"": 1.454462, ""C11"": 1.472161, ""C12"": 1.475009, ""C13"": 1.471073, ""C14"": 1.426455, ""C15"": 1.469644, ""C16"": 2.099094, ""C17"": 2.031592, ""C18"": 2.065138, ""C19"": 2.113362, ""C20"": 2.070812}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 1630, ""C20"": 0}","{""C01"": 0.025300348370144693, ""C02"": 0.025300348370144693, ""C03"": 0.025300348370144693, ""C04"": 0.025300348370144693, ""C05"": 0.025300348370144693, ""C06"": 0.025300348370144693, ""C07"": 0.025300348370144693, ""C08"": 0.025300348370144693, ""C09"": 0.025300348370144693, ""C10"": 0.025300348370144693, ""C11"": 0.025300348370144693, ""C12"": 0.025300348370144693, ""C13"": 0.025300348370144693, ""C14"": 0.025300348370144693, ""C15"": 0.025300348370144693, ""C16"": 0.025300348370144693, ""C17"": 0.025300348370144693, ""C18"": 0.025300348370144693, ""C19"": 0.024356388183735568, ""C20"": 0.025300348370144693}"
9,9,1,341,1.853236,20,"{""C01"": 1.070119, ""C02"": 1.073188, ""C03"": 1.081982, ""C04"": 1.101769, ""C05"": 1.132651, ""C06"": 1.075082, ""C07"": 1.079306, ""C08"": 1.518075, ""C09"": 1.438943, ""C10"": 1.467263, ""C11"": 1.479123, ""C12"": 1.47835, ""C13"": 1.474714, ""C14"": 1.444375, ""C15"": 1.475838, ""C16"": 2.114251, ""C17"": 2.054387, ""C18"": 2.094373, ""C19"": 2.144807, ""C20"": 2.099832}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 1622, ""C20"": 0}","{""C01"": 0.02530965041970548, ""C02"": 0.02530965041970548, ""C03"": 0.02530965041970548, ""C04"": 0.02530965041970548, ""C05"": 0.02530965041970548, ""C06"": 0.02530965041970548, ""C07"": 0.02530965041970548, ""C08"": 0.02530965041970548, ""C09"": 0.02530965041970548, ""C10"": 0.02530965041970548, ""C11"": 0.02530965041970548, ""C12"": 0.02530965041970548, ""C13"": 0.02530965041970548, ""C14"": 0.02530965041970548, ""C15"": 0.02530965041970548, ""C16"": 0.02530965041970548, ""C17"": 0.02530965041970548, ""C18"": 0.02530965041970548, ""C19"": 0.02437032385406926, ""C20"": 0.02530965041970548}"
10,10,1,251,1.371243,20,"{""C01"": 1.070423, ""C02"": 1.074688, ""C03"": 1.08704, ""C04"": 1.111076, ""C05"": 1.144897, ""C06"": 1.075219, ""C07"": 1.083708, ""C08"": 1.537307, ""C09"": 1.454592, ""C10"": 1.477084, ""C11"": 1.48361, ""C12"": 1.480507, ""C13"": 1.478642, ""C14"": 1.459717, ""C15"": 1.479645, ""C16"": 2.130644, ""C17"": 2.078411, ""C18"": 2.123593, ""C19"": 2.174346, ""C20"": 2.128736}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 0, ""C16"": 0, ""C17"": 0, ""C18"": 0, ""C19"": 1615, ""C20"": 0}","{""C01"": 0.025318445043657864, ""C02"": 0.025318445043657864, ""C03"": 0.025318445043657864, ""C04"": 0.025318445043657864, ""C05"": 0.025318445043657864, ""C06"": 0.025318445043657864, ""C07"": 0.025318445043657864, ""C08"": 0.025318445043657864, ""C09"": 0.025318445043657864, ""C10"": 0.025318445043657864, ""C11"": 0.025318445043657864, ""C12"": 0.025318445043657864, ""C13"": 0.025318445043657864, ""C14"": 0.025318445043657864, ""C15"": 0.025318445043657864, ""C16"": 0.025318445043657864, ""C17"": 0.025318445043657864, ""C18"": 0.025318445043657864, ""C19"": 0.024383172339944883, ""C20"": 0.025318445043657864}"
