nohup: ignoring input
[RUN] /home/chenruiqi/anaconda2/envs/spdl/bin/python simulate_non_coop_game.py --scenario-profile legacy --mock-base-dir quality_data/non_coop_quality_scenarios/1 --participant-counts 5 --total-datasize 500000 --log-dir game_log/non_coop_batch/runs/scenario_1/participants_5
[scenario=5_clients] [game_id=56] iter=56, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.213431s
[scenario=5_clients] [game_id=57] iter=57, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.168293s
[scenario=5_clients] [game_id=58] iter=58, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.214027s
[scenario=5_clients] [game_id=59] iter=59, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.165630s
[scenario=5_clients] [game_id=60] iter=60, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.166729s
[scenario=5_clients] [game_id=61] iter=61, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.168818s
[scenario=5_clients] [game_id=62] iter=62, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.166769s
[scenario=5_clients] [game_id=63] iter=63, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.171822s
[scenario=5_clients] [game_id=64] iter=64, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.171702s
[scenario=5_clients] [game_id=65] iter=65, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.166354s
[scenario=5_clients] [game_id=66] iter=66, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.172757s
[scenario=5_clients] [game_id=67] iter=67, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.167827s
[scenario=5_clients] [game_id=68] iter=68, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.166430s
[scenario=5_clients] [game_id=69] iter=69, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.165338s
[scenario=5_clients] [game_id=70] iter=70, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.167876s
[scenario=5_clients] [game_id=71] iter=71, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.164064s
[scenario=5_clients] [game_id=72] iter=72, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.164687s
[scenario=5_clients] [game_id=73] iter=73, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.158846s
[scenario=5_clients] [game_id=74] iter=74, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.096863s
[scenario=5_clients] [game_id=75] iter=75, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.096585s
[scenario=5_clients] [game_id=76] iter=76, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.101475s
[scenario=5_clients] [game_id=77] iter=77, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.103515s
[scenario=5_clients] [game_id=78] iter=78, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.095839s
[scenario=5_clients] [game_id=79] iter=79, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.096121s
[scenario=5_clients] [game_id=80] iter=80, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.100883s
[scenario=5_clients] [game_id=81] iter=81, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.102010s
[scenario=5_clients] [game_id=82] iter=82, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.101254s
[scenario=5_clients] [game_id=83] iter=83, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.098619s
[scenario=5_clients] [game_id=84] iter=84, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.098251s
[scenario=5_clients] [game_id=85] iter=85, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.096536s
[scenario=5_clients] [game_id=86] iter=86, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.095869s
[scenario=5_clients] [game_id=87] iter=87, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.106787s
[scenario=5_clients] [game_id=88] iter=88, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.099385s
[scenario=5_clients] [game_id=89] iter=89, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.096653s
[scenario=5_clients] [game_id=90] iter=90, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.096983s
[scenario=5_clients] [game_id=91] iter=91, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.094935s
[scenario=5_clients] [game_id=92] iter=92, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.101715s
[scenario=5_clients] [game_id=93] iter=93, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.099523s
[scenario=5_clients] [game_id=94] iter=94, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.097484s
[scenario=5_clients] [game_id=95] iter=95, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.096100s
[scenario=5_clients] [game_id=96] iter=96, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.097364s
[scenario=5_clients] [game_id=97] iter=97, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.097515s
[scenario=5_clients] [game_id=98] iter=98, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.118059s
[scenario=5_clients] [game_id=99] iter=99, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.093617s
[scenario=5_clients] [game_id=100] iter=100, players=5, total_datasize=500000, converged=True, rounds=106, duration=0.097477s
实验完成，总博弈轮次=14484，总时间=16.620822s；日志文件：game_log/non_coop_batch/runs/scenario_1/participants_5/non_coop_game_metrics_participants_5.csv、game_log/non_coop_batch/runs/scenario_1/participants_5/non_coop_game_metrics_participants_5.jsonl、game_log/non_coop_batch/runs/scenario_1/participants_5/non_coop_run_summary_participants_5.csv、game_log/non_coop_batch/runs/scenario_1/participants_5/non_coop_run_summary_participants_5.jsonl
[OK] scenario=1, participants=5, total_rounds=14484, iter_count=100, all_converged=1
[RUN] /home/chenruiqi/anaconda2/envs/spdl/bin/python simulate_non_coop_game.py --scenario-profile legacy --mock-base-dir quality_data/non_coop_quality_scenarios/1 --participant-counts 10 --total-datasize 500000 --log-dir game_log/non_coop_batch/runs/scenario_1/participants_10
[scenario=10_clients] [game_id=1] iter=0, players=10, total_datasize=500000, converged=True, rounds=225, duration=0.871658s
[scenario=10_clients] [game_id=2] iter=1, players=10, total_datasize=500000, converged=True, rounds=1004, duration=2.980435s
[scenario=10_clients] [game_id=3] iter=2, players=10, total_datasize=500000, converged=True, rounds=539, duration=1.245290s
[scenario=10_clients] [game_id=4] iter=3, players=10, total_datasize=500000, converged=True, rounds=600, duration=1.383513s
[scenario=10_clients] [game_id=5] iter=4, players=10, total_datasize=500000, converged=True, rounds=237, duration=0.545506s
[scenario=10_clients] [game_id=6] iter=5, players=10, total_datasize=500000, converged=True, rounds=298, duration=0.700325s
[scenario=10_clients] [game_id=7] iter=6, players=10, total_datasize=500000, converged=True, rounds=168, duration=0.400193s
[scenario=10_clients] [game_id=8] iter=7, players=10, total_datasize=500000, converged=True, rounds=222, duration=0.529126s
[scenario=10_clients] [game_id=9] iter=8, players=10, total_datasize=500000, converged=True, rounds=200, duration=0.666031s
[scenario=10_clients] [game_id=10] iter=9, players=10, total_datasize=500000, converged=True, rounds=314, duration=1.202161s
[scenario=10_clients] [game_id=11] iter=10, players=10, total_datasize=500000, converged=True, rounds=794, duration=2.810960s
[scenario=10_clients] [game_id=12] iter=11, players=10, total_datasize=500000, converged=True, rounds=446, duration=1.034374s
[scenario=10_clients] [game_id=13] iter=12, players=10, total_datasize=500000, converged=True, rounds=755, duration=1.863852s
[scenario=10_clients] [game_id=14] iter=13, players=10, total_datasize=500000, converged=True, rounds=124, duration=0.304817s
[scenario=10_clients] [game_id=15] iter=14, players=10, total_datasize=500000, converged=True, rounds=426, duration=1.664277s
[scenario=10_clients] [game_id=16] iter=15, players=10, total_datasize=500000, converged=True, rounds=253, duration=0.968996s
[scenario=10_clients] [game_id=17] iter=16, players=10, total_datasize=500000, converged=True, rounds=286, duration=1.160183s
[scenario=10_clients] [game_id=18] iter=17, players=10, total_datasize=500000, converged=True, rounds=286, duration=1.145926s
[scenario=10_clients] [game_id=19] iter=18, players=10, total_datasize=500000, converged=True, rounds=286, duration=1.108280s
[scenario=10_clients] [game_id=20] iter=19, players=10, total_datasize=500000, converged=True, rounds=246, duration=0.709197s
[scenario=10_clients] [game_id=21] iter=20, players=10, total_datasize=500000, converged=True, rounds=248, duration=0.630486s
[scenario=10_clients] [game_id=22] iter=21, players=10, total_datasize=500000, converged=True, rounds=190, duration=0.436137s
[scenario=10_clients] [game_id=23] iter=22, players=10, total_datasize=500000, converged=True, rounds=279, duration=0.618246s
[scenario=10_clients] [game_id=24] iter=23, players=10, total_datasize=500000, converged=True, rounds=731, duration=1.672737s
[scenario=10_clients] [game_id=25] iter=24, players=10, total_datasize=500000, converged=True, rounds=731, duration=1.788169s
[scenario=10_clients] [game_id=26] iter=25, players=10, total_datasize=500000, converged=True, rounds=706, duration=1.635502s
[scenario=10_clients] [game_id=27] iter=26, players=10, total_datasize=500000, converged=True, rounds=706, duration=1.605929s
[scenario=10_clients] [game_id=28] iter=27, players=10, total_datasize=500000, converged=True, rounds=271, duration=0.794449s
[scenario=10_clients] [game_id=29] iter=28, players=10, total_datasize=500000, converged=True, rounds=271, duration=1.070567s
[scenario=10_clients] [game_id=30] iter=29, players=10, total_datasize=500000, converged=True, rounds=271, duration=1.070562s
[scenario=10_clients] [game_id=31] iter=30, players=10, total_datasize=500000, converged=True, rounds=271, duration=1.080405s
[scenario=10_clients] [game_id=32] iter=31, players=10, total_datasize=500000, converged=True, rounds=197, duration=0.756137s
[scenario=10_clients] [game_id=33] iter=32, players=10, total_datasize=500000, converged=True, rounds=168, duration=0.729809s
[scenario=10_clients] [game_id=34] iter=33, players=10, total_datasize=500000, converged=True, rounds=149, duration=0.439897s
[scenario=10_clients] [game_id=35] iter=34, players=10, total_datasize=500000, converged=True, rounds=149, duration=0.361733s
[scenario=10_clients] [game_id=36] iter=35, players=10, total_datasize=500000, converged=True, rounds=149, duration=0.350801s
[scenario=10_clients] [game_id=37] iter=36, players=10, total_datasize=500000, converged=True, rounds=149, duration=0.326505s
[scenario=10_clients] [game_id=38] iter=37, players=10, total_datasize=500000, converged=True, rounds=143, duration=0.334526s
[scenario=10_clients] [game_id=39] iter=38, players=10, total_datasize=500000, converged=True, rounds=134, duration=0.293897s
[scenario=10_clients] [game_id=40] iter=39, players=10, total_datasize=500000, converged=True, rounds=127, duration=0.303718s
[scenario=10_clients] [game_id=41] iter=40, players=10, total_datasize=500000, converged=True, rounds=127, duration=0.306194s
[scenario=10_clients] [game_id=42] iter=41, players=10, total_datasize=500000, converged=True, rounds=125, duration=0.283862s
[scenario=10_clients] [game_id=43] iter=42, players=10, total_datasize=500000, converged=True, rounds=125, duration=0.281893s
[scenario=10_clients] [game_id=44] iter=43, players=10, total_datasize=500000, converged=True, rounds=125, duration=0.357120s
[scenario=10_clients] [game_id=45] iter=44, players=10, total_datasize=500000, converged=True, rounds=121, duration=0.487783s
[scenario=10_clients] [game_id=46] iter=45, players=10, total_datasize=500000, converged=True, rounds=117, duration=0.451286s
[scenario=10_clients] [game_id=47] iter=46, players=10, total_datasize=500000, converged=True, rounds=115, duration=0.442769s
[scenario=10_clients] [game_id=48] iter=47, players=10, total_datasize=500000, converged=True, rounds=115, duration=0.441267s
[scenario=10_clients] [game_id=49] iter=48, players=10, total_datasize=500000, converged=True, rounds=113, duration=0.430961s
[scenario=10_clients] [game_id=50] iter=49, players=10, total_datasize=500000, converged=True, rounds=113, duration=0.433618s
[scenario=10_clients] [game_id=51] iter=50, players=10, total_datasize=500000, converged=True, rounds=113, duration=0.435188s
[scenario=10_clients] [game_id=52] iter=51, players=10, total_datasize=500000, converged=True, rounds=113, duration=0.344402s
[scenario=10_clients] [game_id=53] iter=52, players=10, total_datasize=500000, converged=True, rounds=113, duration=0.257306s
[scenario=10_clients] [game_id=54] iter=53, players=10, total_datasize=500000, converged=True, rounds=111, duration=0.242327s
[scenario=10_clients] [game_id=55] iter=54, players=10, total_datasize=500000, converged=True, rounds=111, duration=0.251481s
[scenario=10_clients] [game_id=56] iter=55, players=10, total_datasize=500000, converged=True, rounds=110, duration=0.245264s
[scenario=10_clients] [game_id=57] iter=56, players=10, total_datasize=500000, converged=True, rounds=110, duration=0.256737s
[scenario=10_clients] [game_id=58] iter=57, players=10, total_datasize=500000, converged=True, rounds=110, duration=0.243824s
[scenario=10_clients] [game_id=59] iter=58, players=10, total_datasize=500000, converged=True, rounds=110, duration=0.243370s
[scenario=10_clients] [game_id=60] iter=59, players=10, total_datasize=500000, converged=True, rounds=110, duration=0.262763s
[scenario=10_clients] [game_id=61] iter=60, players=10, total_datasize=500000, converged=True, rounds=110, duration=0.243468s
[scenario=10_clients] [game_id=62] iter=61, players=10, total_datasize=500000, converged=True, rounds=110, duration=0.280536s
[scenario=10_clients] [game_id=63] iter=62, players=10, total_datasize=500000, converged=True, rounds=110, duration=0.437956s
[scenario=10_clients] [game_id=64] iter=63, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.418070s
[scenario=10_clients] [game_id=65] iter=64, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.436871s
[scenario=10_clients] [game_id=66] iter=65, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.438091s
[scenario=10_clients] [game_id=67] iter=66, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.422543s
[scenario=10_clients] [game_id=68] iter=67, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.505977s
[scenario=10_clients] [game_id=69] iter=68, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.425555s
[scenario=10_clients] [game_id=70] iter=69, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.436060s
[scenario=10_clients] [game_id=71] iter=70, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.439993s
[scenario=10_clients] [game_id=72] iter=71, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.420321s
