game_id,iter_idx,converged,rounds,duration_sec,player_count,quality_scores_json,final_datasizes_json,final_payoffs_json
1,0,1,1090,4.125213,10,"{""50051"": 0.842038, ""50053"": 0.927805, ""50055"": 0.919081, ""50057"": 0.843356, ""50059"": 1.018336, ""50061"": 0.892814, ""50063"": 0.96079, ""50065"": 1.123037, ""50067"": 1.052697, ""50069"": 1.132753}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 1975}","{""50051"": 0.024848774854325892, ""50053"": 0.024848774854325892, ""50055"": 0.024848774854325892, ""50057"": 0.024848774854325892, ""50059"": 0.024848774854325892, ""50061"": 0.024848774854325892, ""50063"": 0.024848774854325892, ""50065"": 0.024848774854325892, ""50067"": 0.024848774854325892, ""50069"": 0.02370503566114814}"
2,1,1,496,1.824933,10,"{""50051"": 1.148128, ""50053"": 0.953471, ""50055"": 1.251326, ""50057"": 1.114337, ""50059"": 1.327865, ""50061"": 1.379266, ""50063"": 0.96079, ""50065"": 1.123037, ""50067"": 1.052697, ""50069"": 1.132753}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1857, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.024999947252510535, ""50053"": 0.024999947252510535, ""50055"": 0.024999947252510535, ""50057"": 0.024999947252510535, ""50059"": 0.024999947252510535, ""50061"": 0.02392454583935918, ""50063"": 0.024999947252510535, ""50065"": 0.024999947252510535, ""50067"": 0.024999947252510535, ""50069"": 0.024999947252510535}"
3,2,1,965,2.169503,10,"{""50051"": 1.148128, ""50053"": 1.314126, ""50055"": 1.251326, ""50057"": 1.204373, ""50059"": 1.374257, ""50061"": 1.421118, ""50063"": 1.345352, ""50065"": 1.544126, ""50067"": 1.522363, ""50069"": 1.202285}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 1793, ""50067"": 0, ""50069"": 0}","{""50051"": 0.02508281509984525, ""50053"": 0.02508281509984525, ""50055"": 0.02508281509984525, ""50057"": 0.02508281509984525, ""50059"": 0.02508281509984525, ""50061"": 0.02508281509984525, ""50063"": 0.02508281509984525, ""50065"": 0.024044475305366023, ""50067"": 0.02508281509984525, ""50069"": 0.02508281509984525}"
4,3,1,215,0.486302,10,"{""50051"": 1.558647, ""50053"": 1.397163, ""50055"": 1.251326, ""50057"": 1.204373, ""50059"": 1.374257, ""50061"": 1.947863, ""50063"": 1.42078, ""50065"": 1.582094, ""50067"": 1.579229, ""50069"": 1.760778}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1666, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.025243055922826482, ""50053"": 0.025243055922826482, ""50055"": 0.025243055922826482, ""50057"": 0.025243055922826482, ""50059"": 0.025243055922826482, ""50061"": 0.024278267807991014, ""50063"": 0.025243055922826482, ""50065"": 0.025243055922826482, ""50067"": 0.025243055922826482, ""50069"": 0.025243055922826482}"
5,4,1,450,1.036399,10,"{""50051"": 1.558647, ""50053"": 1.397163, ""50055"": 1.374387, ""50057"": 1.451285, ""50059"": 1.618897, ""50061"": 1.947863, ""50063"": 1.706525, ""50065"": 1.846602, ""50067"": 2.030397, ""50069"": 1.760778}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1644, ""50069"": 0}","{""50051"": 0.025270318523352042, ""50053"": 0.025270318523352042, ""50055"": 0.025270318523352042, ""50057"": 0.025270318523352042, ""50059"": 0.025270318523352042, ""50061"": 0.025270318523352042, ""50063"": 0.025270318523352042, ""50065"": 0.025270318523352042, ""50067"": 0.024318272632827903, ""50069"": 0.025270318523352042}"
6,5,1,449,1.018453,10,"{""50051"": 1.558647, ""50053"": 1.50929, ""50055"": 1.374387, ""50057"": 1.451285, ""50059"": 1.618897, ""50061"": 1.947863, ""50063"": 1.706525, ""50065"": 1.846602, ""50067"": 2.030397, ""50069"": 1.760778}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1644, ""50069"": 0}","{""50051"": 0.025270318523352042, ""50053"": 0.025270318523352042, ""50055"": 0.025270318523352042, ""50057"": 0.025270318523352042, ""50059"": 0.025270318523352042, ""50061"": 0.025270318523352042, ""50063"": 0.025270318523352042, ""50065"": 0.025270318523352042, ""50067"": 0.024318272632827903, ""50069"": 0.025270318523352042}"
7,6,1,917,2.072303,10,"{""50051"": 1.655842, ""50053"": 1.50929, ""50055"": 1.374387, ""50057"": 1.451285, ""50059"": 1.804269, ""50061"": 2.035912, ""50063"": 1.706525, ""50065"": 1.846602, ""50067"": 2.058254, ""50069"": 1.891055}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1637, ""50069"": 0}","{""50051"": 0.025279287794092956, ""50053"": 0.025279287794092956, ""50055"": 0.025279287794092956, ""50057"": 0.025279287794092956, ""50059"": 0.025279287794092956, ""50061"": 0.025279287794092956, ""50063"": 0.025279287794092956, ""50065"": 0.025279287794092956, ""50067"": 0.024331295497455382, ""50069"": 0.025279287794092956}"
8,7,1,179,0.403243,10,"{""50051"": 1.655842, ""50053"": 1.611076, ""50055"": 1.434751, ""50057"": 1.451285, ""50059"": 1.804269, ""50061"": 2.035912, ""50063"": 1.894979, ""50065"": 1.975771, ""50067"": 2.336316, ""50069"": 1.891055}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1573, ""50069"": 0}","{""50051"": 0.025360688768992654, ""50053"": 0.025360688768992654, ""50055"": 0.025360688768992654, ""50057"": 0.025360688768992654, ""50059"": 0.025360688768992654, ""50061"": 0.025360688768992654, ""50063"": 0.025360688768992654, ""50065"": 0.025360688768992654, ""50067"": 0.024449758932279565, ""50069"": 0.025360688768992654}"
9,8,1,181,0.410017,10,"{""50051"": 1.655842, ""50053"": 1.611076, ""50055"": 1.434751, ""50057"": 1.451285, ""50059"": 1.804269, ""50061"": 2.035912, ""50063"": 1.894979, ""50065"": 1.975771, ""50067"": 2.336316, ""50069"": 2.043292}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1573, ""50069"": 0}","{""50051"": 0.025360688768992654, ""50053"": 0.025360688768992654, ""50055"": 0.025360688768992654, ""50057"": 0.025360688768992654, ""50059"": 0.025360688768992654, ""50061"": 0.025360688768992654, ""50063"": 0.025360688768992654, ""50065"": 0.025360688768992654, ""50067"": 0.024449758932279565, ""50069"": 0.025360688768992654}"
10,9,1,231,0.521487,10,"{""50051"": 2.034051, ""50053"": 1.611076, ""50055"": 1.529178, ""50057"": 1.49985, ""50059"": 1.923957, ""50061"": 2.3646, ""50063"": 1.894979, ""50065"": 1.975771, ""50067"": 2.586362, ""50069"": 2.043292}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1523, ""50069"": 0}","{""50051"": 0.025423421559402345, ""50053"": 0.025423421559402345, ""50055"": 0.025423421559402345, ""50057"": 0.025423421559402345, ""50059"": 0.025423421559402345, ""50061"": 0.025423421559402345, ""50063"": 0.025423421559402345, ""50065"": 0.025423421559402345, ""50067"": 0.024541448463703226, ""50069"": 0.025423421559402345}"
